game_dir,game_name,latest_backup_utc,backup_snapshots,backup_file_count,total_size_bytes,save_like_file_count,lutris_id,lutris_slug,lutris_runner,lutris_platform,lutris_categories,lutris_playtime_hours,lutris_playtime_text,lutris_lastplayed_utc,steam_appid,steam_playtime_hours,steam_playtime_text,steam_lastplayed_utc,steam_installed,playtime_text,lastplayed_utc,installed,story_progress_text,story_source,story_confidence,notes
Age of Empires II_ Definitive Edition,Age of Empires II: Definitive Edition,2026-07-07T06:44:21.018149747Z,1,43,50054152,32,34,age-of-empires-ii-definitive-edition,steam,Linux,,409.06666666666666,409h 4m,,813780,409.06666666666666,409h 4m,2026-07-07T06:32:42+00:00,1,409h 4m,2026-07-07T06:32:42+00:00,1,,,,Current playtime came from the local Lutris database. Current playtime came from the Steam Web API.
Age of Empires II_ The Age of Kings,Age of Empires II: The Age of Kings,2026-01-18T00:01:03.437634027Z,1,3,3681,3,23,age-of-empires-ii-the-age-of-kings,wine,Windows,,0.06894,4m,2026-03-07T22:21:04+00:00,,,,,0,4m,2026-03-07T22:21:04+00:00,1,,,,Current playtime came from the local Lutris database.
steam-933110,Age of Empires III: Definitive Edition,,0,0,0,0,,,,,,,,,933110,1.4833333333333334,1h 29m,,0,1h 29m,,0,,,,No ludusavi backup; this entry comes from the Steam library.
steam-1466860,Age of Empires IV: Anniversary Edition,,0,0,0,0,,,,,,,,,1466860,3.1,3h 6m,,0,3h 6m,,0,,,,No ludusavi backup; this entry comes from the Steam library.
Alan Wake,Alan Wake,2026-08-20T05:40:22.004215038Z,1,4,143818,0,22,alan-wake,wine,Windows,Backlog,0.47013631025833325,28m,2026-08-20T05:32:15+00:00,,,,,0,28m,2026-08-20T05:32:15+00:00,1,,,,Current playtime came from the local Lutris database.
steam-1172470,Apex Legends,,0,0,0,0,,,,,,,,,1172470,1.5333333333333334,1h 32m,,0,1h 32m,,0,,,,No ludusavi backup; this entry comes from the Steam library.
steam-3159330,Assassin's Creed Shadows,,0,0,0,0,,,,,,,,,3159330,96.43333333333334,96h 26m,,0,96h 26m,,0,,,,No ludusavi backup; this entry comes from the Steam library.
steam-1202900,Assemble with Care,,0,0,0,0,,,,,,,,,1202900,0.0,0m,,0,0m,,0,,,,No ludusavi backup; this entry comes from the Steam library.
steam-291550,Brawlhalla,,0,0,0,0,,,,,,,,,291550,0.5166666666666667,31m,,0,31m,,0,,,,No ludusavi backup; this entry comes from the Steam library.
Call of Duty_ Modern Warfare Remastered,Call of Duty: Modern Warfare Remastered,2026-05-30T22:43:01.863488946Z,1,7,4484441,2,9,call-of-duty-modern-warfare-remastered,wine,Windows,Backlog,1.2200946692063883,1h 13m,2026-05-30T22:27:55+00:00,,,,,0,1h 13m,2026-05-30T22:27:55+00:00,1,,,,Current playtime came from the local Lutris database.
Cheese Rolling,Cheese Rolling,2026-07-21T07:24:01.549086917Z,1,3,65905,0,,,,,,,,,3809440,,,2026-07-21T06:56:22+00:00,1,,2026-07-21T06:56:22+00:00,1,,,,Steam reports no ownership for this app; it is installed locally.
